path,distance,scale,conponte,metro,puntoaccesso
"['punto_accesso_10', 'punto_strada_473', 'punto_strada_476', 'punto_strada_477', 'punto_strada_478', 'punto_strada_994', 'punto_strada_996', 'punto_strada_125', 'punto_strada_128', 'punto_strada_130', 'punto_strada_132', 'punto_strada_134', 'punto_strada_32', 'punto_strada_31', 'punto_strada_30', 'punto_strada_29', 'punto_strada_28', 'punto_strada_1066', 'punto_strada_1064', 'punto_strada_1063', 'punto_strada_26', 'punto_strada_1059', 'punto_strada_25', 'punto_strada_1056', 'punto_strada_1054', 'punto_strada_195', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",885.0583868589315,yes,yes,concadoro,punto_accesso_10
"['punto_accesso_11', 'punto_strada_420', 'punto_strada_419', 'punto_strada_478', 'punto_strada_994', 'punto_strada_996', 'punto_strada_125', 'punto_strada_128', 'punto_strada_130', 'punto_strada_132', 'punto_strada_134', 'punto_strada_32', 'punto_strada_31', 'punto_strada_30', 'punto_strada_29', 'punto_strada_28', 'punto_strada_1066', 'punto_strada_1064', 'punto_strada_1063', 'punto_strada_26', 'punto_strada_1059', 'punto_strada_25', 'punto_strada_1056', 'punto_strada_1054', 'punto_strada_195', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",863.1459482337825,yes,yes,concadoro,punto_accesso_11
"['punto_accesso_12', 'punto_strada_451', 'punto_strada_453', 'punto_strada_455', 'punto_strada_426', 'punto_strada_427', 'punto_strada_429', 'punto_strada_430', 'punto_strada_432', 'punto_strada_434', 'punto_strada_435', 'punto_strada_436', 'punto_strada_337', 'punto_strada_344', 'punto_strada_338', 'punto_strada_339', 'punto_strada_341', 'punto_strada_342', 'punto_strada_318', 'punto_strada_319', 'punto_strada_320', 'punto_strada_321', 'punto_strada_322', 'punto_strada_323', 'punto_strada_261', 'punto_strada_259', 'punto_strada_256', 'punto_strada_254', 'punto_strada_1065', 'punto_strada_1064', 'punto_strada_1063', 'punto_strada_26', 'punto_strada_1059', 'punto_strada_25', 'punto_strada_1056', 'punto_strada_1054', 'punto_strada_195', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",951.9909652917572,yes,yes,concadoro,punto_accesso_12
"['punto_accesso_13', 'punto_strada_422', 'punto_strada_421', 'punto_strada_419', 'punto_strada_478', 'punto_strada_994', 'punto_strada_996', 'punto_strada_125', 'punto_strada_128', 'punto_strada_130', 'punto_strada_132', 'punto_strada_134', 'punto_strada_32', 'punto_strada_31', 'punto_strada_30', 'punto_strada_29', 'punto_strada_28', 'punto_strada_1066', 'punto_strada_1064', 'punto_strada_1063', 'punto_strada_26', 'punto_strada_1059', 'punto_strada_25', 'punto_strada_1056', 'punto_strada_1054', 'punto_strada_195', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",895.5907408450389,yes,yes,concadoro,punto_accesso_13
"['punto_accesso_14', 'punto_strada_332', 'punto_strada_330', 'punto_strada_128', 'punto_strada_130', 'punto_strada_132', 'punto_strada_134', 'punto_strada_32', 'punto_strada_31', 'punto_strada_30', 'punto_strada_29', 'punto_strada_28', 'punto_strada_1066', 'punto_strada_1064', 'punto_strada_1063', 'punto_strada_26', 'punto_strada_1059', 'punto_strada_25', 'punto_strada_1056', 'punto_strada_1054', 'punto_strada_195', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",766.1498293194478,yes,yes,concadoro,punto_accesso_14
"['punto_accesso_15', 'punto_strada_588', 'punto_strada_600', 'punto_strada_585', 'punto_strada_1070', 'punto_strada_545', 'punto_strada_548', 'punto_strada_550', 'punto_strada_551', 'punto_strada_525', 'punto_strada_527', 'punto_strada_529', 'punto_strada_531', 'punto_strada_533', 'punto_strada_363', 'punto_strada_365', 'punto_strada_367', 'punto_strada_299', 'punto_strada_297', 'punto_strada_295', 'punto_strada_292', 'punto_strada_243', 'punto_strada_244', 'punto_strada_169', 'punto_strada_167', 'punto_strada_165', 'punto_strada_164', 'punto_strada_163', 'punto_strada_161', 'punto_strada_159', 'punto_strada_158', 'punto_strada_156', 'punto_strada_155', 'punto_strada_217', 'punto_strada_1081', 'punto_strada_961', 'punto_strada_962', 'punto_strada_1078', 'punto_strada_1076', 'punto_strada_1075', 'punto_strada_1074', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",1194.9638411526591,yes,yes,concadoro,punto_accesso_15
"['punto_accesso_16', 'punto_strada_492', 'punto_strada_487', 'punto_strada_486', 'punto_strada_499', 'punto_strada_498', 'punto_strada_496', 'punto_strada_494', 'punto_strada_493', 'punto_strada_444', 'punto_strada_443', 'punto_strada_442', 'punto_strada_441', 'punto_strada_440', 'punto_strada_439', 'punto_strada_438', 'punto_strada_437', 'punto_strada_345', 'punto_strada_346', 'punto_strada_347', 'punto_strada_348', 'punto_strada_349', 'punto_strada_350', 'punto_strada_351', 'punto_strada_317', 'punto_strada_328', 'punto_strada_327', 'punto_strada_326', 'punto_strada_325', 'punto_strada_324', 'punto_strada_271', 'punto_strada_264', 'punto_strada_266', 'punto_strada_268', 'punto_strada_270', 'punto_strada_203', 'punto_strada_202', 'punto_strada_199', 'punto_strada_198', 'punto_strada_193', 'punto_strada_192', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",1122.1559396500259,yes,yes,concadoro,punto_accesso_16
"['punto_accesso_17', 'punto_strada_606', 'punto_strada_604', 'punto_strada_603', 'punto_strada_601', 'punto_strada_1051', 'punto_strada_1052', 'punto_strada_1053', 'punto_strada_595', 'punto_strada_596', 'punto_strada_598', 'punto_strada_599', 'punto_strada_585', 'punto_strada_1070', 'punto_strada_545', 'punto_strada_548', 'punto_strada_550', 'punto_strada_551', 'punto_strada_525', 'punto_strada_527', 'punto_strada_529', 'punto_strada_531', 'punto_strada_533', 'punto_strada_363', 'punto_strada_365', 'punto_strada_367', 'punto_strada_299', 'punto_strada_297', 'punto_strada_295', 'punto_strada_292', 'punto_strada_243', 'punto_strada_244', 'punto_strada_169', 'punto_strada_167', 'punto_strada_165', 'punto_strada_164', 'punto_strada_163', 'punto_strada_161', 'punto_strada_159', 'punto_strada_158', 'punto_strada_156', 'punto_strada_155', 'punto_strada_217', 'punto_strada_1081', 'punto_strada_961', 'punto_strada_962', 'punto_strada_1078', 'punto_strada_1076', 'punto_strada_1075', 'punto_strada_1074', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",1337.9626338796852,yes,yes,concadoro,punto_accesso_17
"['punto_accesso_18', 'punto_strada_593', 'punto_strada_1052', 'punto_strada_1053', 'punto_strada_595', 'punto_strada_596', 'punto_strada_598', 'punto_strada_599', 'punto_strada_585', 'punto_strada_1070', 'punto_strada_545', 'punto_strada_548', 'punto_strada_550', 'punto_strada_551', 'punto_strada_525', 'punto_strada_527', 'punto_strada_529', 'punto_strada_531', 'punto_strada_533', 'punto_strada_363', 'punto_strada_365', 'punto_strada_367', 'punto_strada_299', 'punto_strada_297', 'punto_strada_295', 'punto_strada_292', 'punto_strada_243', 'punto_strada_244', 'punto_strada_169', 'punto_strada_167', 'punto_strada_165', 'punto_strada_164', 'punto_strada_163', 'punto_strada_161', 'punto_strada_159', 'punto_strada_158', 'punto_strada_156', 'punto_strada_155', 'punto_strada_217', 'punto_strada_1081', 'punto_strada_961', 'punto_strada_962', 'punto_strada_1078', 'punto_strada_1076', 'punto_strada_1075', 'punto_strada_1074', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",1269.1521894371285,yes,yes,concadoro,punto_accesso_18
"['punto_accesso_19', 'punto_strada_484', 'punto_strada_483', 'punto_strada_495', 'punto_strada_493', 'punto_strada_444', 'punto_strada_443', 'punto_strada_442', 'punto_strada_441', 'punto_strada_440', 'punto_strada_439', 'punto_strada_438', 'punto_strada_437', 'punto_strada_345', 'punto_strada_346', 'punto_strada_347', 'punto_strada_348', 'punto_strada_349', 'punto_strada_350', 'punto_strada_351', 'punto_strada_317', 'punto_strada_328', 'punto_strada_327', 'punto_strada_326', 'punto_strada_325', 'punto_strada_324', 'punto_strada_271', 'punto_strada_264', 'punto_strada_266', 'punto_strada_268', 'punto_strada_270', 'punto_strada_203', 'punto_strada_202', 'punto_strada_199', 'punto_strada_198', 'punto_strada_193', 'punto_strada_192', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",1101.98903693729,yes,yes,concadoro,punto_accesso_19
